load_scenario,load_scenario_idx,horizon_step,load,p_mw,q_mvar
7,22345,0,9,6.60506172259538,4.256595332339244
7,22345,0,10,2.3615580910399707,1.2145155896776993
7,22345,0,11,3.835409707525991,1.0060091036133747
7,22345,0,12,11.427249484553712,4.9094849637341875
7,22345,0,13,10.29394181153661,3.4543428897773865
8,22346,0,0,0.006112178139687785,0.0
8,22346,0,1,16.533435177082616,9.67625008059674
8,22346,0,2,55.67089680782001,11.228737148074098
8,22346,0,3,32.151269900629956,-2.62322076595098
8,22346,0,4,4.5884068725638985,0.9659803942239787
8,22346,0,5,7.975762075427545,5.340912104080946
8,22346,0,6,0.006112178139687785,0.0
8,22346,0,7,0.006112178139687785,0.0
8,22346,0,8,20.166310522669477,11.3478221924174
8,22346,0,9,6.254895301980424,4.030932527942939
8,22346,0,10,2.298556166614927,1.182114599973391
8,22346,0,11,3.758575709298084,0.9858559237503172
8,22346,0,12,11.22195547656726,4.821284575117786
8,22346,0,13,10.179379891960354,3.415899292604146
9,22347,0,0,-0.003780563679505633,-0.0
9,22347,0,1,15.858730939874235,9.281377093843446
9,22347,0,2,51.194690573916944,10.325893003231654
9,22347,0,3,28.512284963499837,-2.3263161371893175
9,22347,0,4,4.189929600719294,0.8820904422566935
9,22347,0,5,7.444828374095658,4.9853761433676285
9,22347,0,6,-0.003780563679505633,-0.0
9,22347,0,7,-0.003780563679505633,-0.0
9,22347,0,8,19.24287914382098,10.828196399573839
9,22347,0,9,5.671127679050096,3.6547267264989505
9,22347,0,10,2.123566036164071,1.0921196757415224
9,22347,0,11,3.507778234783422,0.9200729796153239
9,22347,0,12,10.742686184519986,4.615376286682661
9,22347,0,13,9.722758335404972,3.262670582350662
10,22348,0,0,-0.012854646879018716,-0.0
10,22348,0,1,15.012829345060606,8.786310261855746
10,22348,0,2,47.08897695866295,9.497776668944756
10,22348,0,3,26.238915868902687,-2.1408320478811818
10,22348,0,4,3.7195961599572245,0.7830728757804684
10,22348,0,5,6.830547952838227,4.574027646989885
10,22348,0,6,-0.012854646879018716,-0.0
10,22348,0,7,-0.012854646879018716,-0.0
10,22348,0,8,17.708840204538607,9.964974487977656
10,22348,0,9,5.004859104553458,3.2253536451566727
10,22348,0,10,1.969339190469685,1.0128030122415526
10,22348,0,11,3.3250271317942763,0.8721382640771873
10,22348,0,12,10.086162080997374,4.3333140792433165
10,22348,0,13,8.99458827910232,3.018318214463866
11,22349,0,0,-0.013017490365754725,-0.0
11,22349,0,1,14.4295084314223,8.44491968106282
11,22349,0,2,43.95588603861198,8.86583688676887
11,22349,0,3,24.228986084774554,-1.9768419608916479
11,22349,0,4,3.3347925596147494,0.7020615914978421
11,22349,0,5,6.231116081829843,4.172622376225341
11,22349,0,6,-0.013017490365754725,-0.0
11,22349,0,7,-0.013017490365754725,-0.0
11,22349,0,8,16.358256296226678,9.204984898893656
11,22349,0,9,4.419147722549639,2.847895198976434
11,22349,0,10,1.7978775822973256,0.9246227566100533
11,22349,0,11,3.111432362120887,0.8161134064579376
11,22349,0,12,9.511027017695302,4.086219015009833
11,22349,0,13,8.28383067898007,2.779808952677876
12,22350,0,0,0.004388997970957931,0.0
12,22350,0,1,13.988766242891945,8.186973791922936
12,22350,0,2,41.33865071584238,8.337944411900267
12,22350,0,3,22.658816616971535,-1.8487318997110669
12,22350,0,4,2.9323215512579512,0.6173308528964109
12,22350,0,5,5.766566545637558,3.861540097525151
12,22350,0,6,0.004388997970957931,0.0
12,22350,0,7,0.004388997970957931,0.0
12,22350,0,8,15.772890956632175,8.875592877291325
12,22350,0,9,4.083553943503361,2.6316236524799437
12,22350,0,10,1.6982617802750921,0.8733917727129046
12,22350,0,11,2.956462357968853,0.7754655365164205
12,22350,0,12,9.17061378417104,3.9399674035697805
12,22350,0,13,7.753638840759915,2.6018922284429244
